area_sqft,bhk,property_type,lat,lon,price_inr
1505,3,Apartment,23.0107147,72.4429208,5400000.0
1195,2,Apartment,23.190072,72.626936,7200000.0
2250,4,Apartment,23.0232163,72.4708784,28500000.0
3229,5,Apartment,23.0650046,72.5390686,43000000.0
1602,4,Apartment,23.0544372,72.4720756,26000000.0
1484,3,Apartment,23.0215374,72.5800568,7800000.0
1376,3,Apartment,23.0326231,72.5709891,8500000.0
1035,2,Apartment,23.1109557,72.5539974,3650000.0
1170,2,Apartment,23.107121,72.5848584,5500000.0
900,2,Apartment,23.0687402,72.6734956,3500000.0
1275,4,Apartment,23.0434823,72.6810611,25000000.0
1440,3,Apartment,23.2120774,72.6859769,7200000.0
1782,3,Apartment,23.0967876,72.5966689,8500000.0
1665,3,Apartment,23.0439009,72.4820111,6200000.0
866,3,Apartment,23.0111491,72.5132562,5200000.0
191,1,Apartment,23.0787426,72.6681866,850000.0000000001
1170,2,Apartment,23.2397411,72.5008647,5699999.999999999
867,3,Apartment,23.1358111,72.5818846,6500000.0
1008,3,Apartment,23.1360943,72.5425805,8580000.0
1242,2,Apartment,23.0918606,72.597227,6100000.0
1420,3,Apartment,23.1201139,72.6251307,6500000.0
810,2,Apartment,23.2662572,72.6436353,4800000.0
945,2,Apartment,23.062275,72.571217,2500000.0
3562,5,Apartment,23.0796581,72.4947377,35900000.0
1840,3,Apartment,23.0000258,72.5051405,11500000.0
1989,4,Apartment,23.0226117,72.5490834,13500000.0
2335,3,Apartment,23.2125309,72.684767,17800000.0
3447,4,Apartment,23.0225299,72.5416944,31100000.0
852,3,Apartment,22.9969634,72.633455,9500000.0
1710,3,Apartment,23.0406632,72.5567409,7000000.0
836,3,Apartment,23.1358111,72.5818846,7000000.0
635,2,Apartment,23.1360943,72.5425805,7800000.0
1710,3,Apartment,23.1010002,72.5408363,9000000.0
1917,3,Apartment,23.081994,72.5519258,12000000.0
1214,2,Apartment,23.0940395,72.5449519,6500000.0
2401,4,Apartment,23.0868734,72.4835036,31400000.0
2141,3,Apartment,23.1010002,72.5408363,11500000.0
834,2,Apartment,23.0232163,72.4708784,11000000.0
1080,2,Apartment,23.0347368,72.5346755,7500000.0
697,2,Apartment,23.1589328,72.5380315,7000000.0
2250,4,Apartment,23.2478221,72.4852775,31500000.0
